REGIONID,PRODUCT,YEARWEEK,QTY
A01,PRODUCT56,201412,5264
A01,PRODUCT57,201412,8738
A01,PRODUCT12,201412,130579
A01,PRODUCT1,201412,7703
A01,PRODUCT33,201412,6915
A01,PRODUCT14,201412,8027
A01,PRODUCT62,201412,3689
A02,PRODUCT2,201412,2454
A02,PRODUCT6,201412,0
A02,PRODUCT58,201412,1237
A02,PRODUCT63,201412,1746
A02,PRODUCT4,201412,786
A02,PRODUCT16,201412,0
A02,PRODUCT59,201412,34931
A02,PRODUCT34,201412,2618
A02,PRODUCT47,201412,697
A02,PRODUCT60,201412,15
A02,PRODUCT56,201412,140
A02,PRODUCT57,201412,57
A02,PRODUCT12,201412,4001
A02,PRODUCT1,201412,52
A02,PRODUCT33,201412,1262
A02,PRODUCT14,201412,1550
A02,PRODUCT62,201412,469
A01,PRODUCT2,201413,293
A01,PRODUCT6,201413,1
A01,PRODUCT58,201413,226
A01,PRODUCT63,201413,35759
A01,PRODUCT15,201413,4566
A01,PRODUCT4,201413,15502
A01,PRODUCT16,201413,756
A01,PRODUCT59,201413,335927
A01,PRODUCT34,201413,35292
A01,PRODUCT7,201413,1785
A01,PRODUCT75,201413,26971
A01,PRODUCT8,201413,173
A01,PRODUCT19,201413,2352
A01,PRODUCT60,201413,0
A01,PRODUCT56,201413,4657
A01,PRODUCT57,201413,8684
A01,PRODUCT12,201413,126000
A01,PRODUCT1,201413,7295
A01,PRODUCT33,201413,6287
A01,PRODUCT14,201413,8538
A01,PRODUCT62,201413,4882
A02,PRODUCT2,201413,5688
A02,PRODUCT6,201413,0
A02,PRODUCT58,201413,986
A02,PRODUCT63,201413,1371
A02,PRODUCT4,201413,850
A02,PRODUCT16,201413,0
A02,PRODUCT59,201413,35093
A02,PRODUCT34,201413,2527
A02,PRODUCT47,201413,743
A02,PRODUCT60,201413,31
A02,PRODUCT56,201413,123
A02,PRODUCT57,201413,75
A02,PRODUCT12,201413,3846
A02,PRODUCT1,201413,34
A02,PRODUCT33,201413,1282
A02,PRODUCT14,201413,1486
A02,PRODUCT62,201413,422
A01,PRODUCT2,201414,278
A01,PRODUCT6,201414,1
A01,PRODUCT58,201414,1321
A01,PRODUCT63,201414,35415
A01,PRODUCT15,201414,4389
A01,PRODUCT4,201414,13936
A01,PRODUCT16,201414,999
A01,PRODUCT59,201414,288928
A01,PRODUCT34,201414,35406
A01,PRODUCT7,201414,627
A01,PRODUCT75,201414,23667
A01,PRODUCT8,201414,122
A01,PRODUCT19,201414,2980
A01,PRODUCT20,201414,8
A01,PRODUCT47,201414,4741
A01,PRODUCT60,201414,0
A01,PRODUCT56,201414,4373
A01,PRODUCT57,201414,9084
A01,PRODUCT12,201414,113860
A01,PRODUCT1,201414,6199
A01,PRODUCT33,201414,5605
A01,PRODUCT14,201414,7806
A01,PRODUCT62,201414,5121
A02,PRODUCT2,201414,7547
A02,PRODUCT6,201414,0
A02,PRODUCT58,201414,634
A02,PRODUCT63,201414,1382
A02,PRODUCT4,201414,1134
A02,PRODUCT16,201414,0
A02,PRODUCT59,201414,24924
A02,PRODUCT34,201414,2400
A02,PRODUCT47,201414,559
A02,PRODUCT60,201414,35
A02,PRODUCT56,201414,106
A02,PRODUCT57,201414,63
A02,PRODUCT12,201414,4036
A02,PRODUCT1,201414,126
A02,PRODUCT33,201414,1333
A02,PRODUCT14,201414,1470
A02,PRODUCT62,201414,490
A01,PRODUCT2,201415,525
A01,PRODUCT6,201415,2
A01,PRODUCT58,201415,16335
A01,PRODUCT63,201415,32740
A01,PRODUCT15,201415,5129
A01,PRODUCT4,201415,13785
A01,PRODUCT16,201415,973
A01,PRODUCT59,201415,724021
A01,PRODUCT34,201415,28944
A01,PRODUCT7,201415,719
A01,PRODUCT75,201415,30031
A01,PRODUCT8,201415,91
A01,PRODUCT19,201415,2287
A01,PRODUCT20,201415,557
A01,PRODUCT47,201415,4470
A01,PRODUCT60,201415,1
A01,PRODUCT56,201415,4483
A01,PRODUCT57,201415,8789
A01,PRODUCT12,201415,104570
A01,PRODUCT1,201415,7016
A01,PRODUCT33,201415,5700
A01,PRODUCT14,201415,7329
A01,PRODUCT62,201415,4971
